motif_name,motif_idx,sequence_name,start,end,strand,score,p-value,q-value,test_idx
pos_patterns.pattern_2,2,47,60,78,+,14.108519327088855,1.0363034679353362e-05,8.720662035224796e-05,219928
pos_patterns.pattern_6,6,48,79,102,+,21.57991237484449,2.3287529090219245e-08,1.2628632962883479e-06,1802
pos_patterns.pattern_0,0,48,122,148,+,9.687335173170329,0.00022124682345747704,0.0003945650386075641,1802
pos_patterns.pattern_3,3,49,145,160,+,17.09658649547752,1.2889189532324179e-06,2.6256526418266834e-05,268412
pos_patterns.pattern_1,1,49,195,203,-,16.35742062738139,1.8496120050663651e-06,8.080265778995807e-06,268412
pos_patterns.pattern_5,5,49,230,243,+,5.172075279364802,0.0003134627781315759,0.0006263318767591148,268412
pos_patterns.pattern_1,1,50,180,198,-,11.27502072143238,3.899655912640092e-05,8.811798553105603e-05,316657
pos_patterns.pattern_0,0,51,122,130,-,9.195398544712418,0.00028276149805606067,0.00044929372820453847,220990
pos_patterns.pattern_0,0,51,153,173,+,9.154876178735513,0.00028276149805606067,0.00044929372820453847,220990
pos_patterns.pattern_0,0,51,133,140,+,8.01603247711483,0.00044599323427973965,0.0005893580489256068,220990
pos_patterns.pattern_4,4,52,165,175,+,15.072187199208724,5.945054147473219e-06,2.7885982528067994e-05,23859
pos_patterns.pattern_0,0,52,195,215,-,13.485724655228895,2.040975505224196e-05,0.00010862054701247111,23859
pos_patterns.pattern_2,2,52,226,236,+,11.04005969980095,9.145110756956986e-05,0.00024729992081747954,23859
pos_patterns.pattern_0,0,0,55,63,+,11.577720907197168,6.484985351562499e-05,0.0005122641442527239,351897
pos_patterns.pattern_2,8,0,96,103,+,11.356333897258782,7.497825299651587e-05,0.00045327762038802776,351897
pos_patterns.pattern_9,15,0,108,119,-,10.927496449759312,5.142317058925981e-05,0.00042876955713550674,351897
pos_patterns.pattern_1,1,0,166,173,+,10.921370520626356,0.00015830993652343758,0.0005410860313751671,351897
pos_patterns.pattern_9,15,1,102,115,+,14.118292609749094,7.302915037143954e-06,0.00019813370258466712,267095
pos_patterns.pattern_14,6,1,197,208,-,13.178407453231141,1.9641517491564266e-05,0.00032819988166071914,267095
pos_patterns.pattern_7,13,1,89,98,-,10.66776220986251,0.00011546889800229098,0.0005201301711814916,267095
pos_patterns.pattern_5,11,5,113,127,+,15.743874645662407,2.0899851733702226e-06,0.00017272767233104456,345167
pos_patterns.pattern_10,2,5,154,162,+,13.071789464792346,1.7655444025876983e-05,0.00034009173110863034,345167
pos_patterns.pattern_5,11,5,82,96,+,11.34795549838262,9.092472100746803e-05,0.0004576047434310282,345167
pos_patterns.pattern_2,8,7,126,135,+,10.601938998191777,0.0001387279926348128,0.0005611162635908977,150605
pos_patterns.pattern_0,0,9,50,58,-,9.297195633120324,0.0004005432128906257,0.0007072091102600111,234291
pos_patterns.pattern_0,0,9,30,39,-,8.872422436831084,0.0004959106445312505,0.0007883779239171541,234291
pos_patterns.pattern_2,8,10,137,148,-,10.646993414619907,0.00013872799263481265,0.0005611162635908977,176117
pos_patterns.pattern_2,8,10,40,48,-,8.847493452720709,0.0004644527098207615,0.000802849829437876,176117
pos_patterns.pattern_9,15,11,167,189,+,17.790328610327983,3.4142067306674853e-07,3.884486173891685e-05,119628
pos_patterns.pattern_10,2,11,124,137,+,14.485732215177649,7.21979631634895e-06,0.00023443710038658806,119628
pos_patterns.pattern_2,8,12,40,53,+,8.989867953432023,0.0004395628557176674,0.0007906536330768863,181314
pos_patterns.pattern_2,8,12,23,33,+,7.9004093266601085,0.0007237774334498678,0.0009178131110657044,181314
pos_patterns.pattern_2,8,13,224,239,+,11.934597120262413,4.090949187229851e-05,0.0003543921882117507,46903
pos_patterns.pattern_7,13,13,194,203,+,11.664941537867346,5.576619332714486e-05,0.0004161656218443646,46903
pos_patterns.pattern_3,9,13,171,191,+,7.308675717710923,0.0006532818442792626,0.000798870369575785,46903
pos_patterns.pattern_3,9,15,172,183,-,8.726187125394262,0.00030698926730110543,0.0005229508712631766,152735
pos_patterns.pattern_10,2,15,100,114,+,5.95808439528609,0.0003734369947778754,0.000932771746296825,152735
pos_patterns.pattern_5,11,19,149,161,-,16.02325815237527,1.3252229109639304e-06,0.0001665085053900838,209849
pos_patterns.pattern_1,1,19,51,59,-,12.590925923837322,5.722045898437507e-06,0.0002712673611111109,209849
pos_patterns.pattern_2,8,19,91,105,+,12.221534246638718,2.9319241548364537e-05,0.000304086262114001,209849
pos_patterns.pattern_1,1,19,138,143,-,9.28084858558868,0.0004997253417968737,0.0007399056535569693,209849
pos_patterns.pattern_0,0,19,123,128,-,7.644069125776111,0.0008544921874999998,0.0009374525940533978,209849
pos_patterns.pattern_2,8,20,49,63,+,11.654474510697312,5.592027628154023e-05,0.0004105056645213067,353207
pos_patterns.pattern_1,1,28,23,32,+,11.970818819063016,3.0517578125e-05,0.00036922501929012374,100923
pos_patterns.pattern_4,10,28,89,110,+,7.619122397693803,0.0007583634323964361,0.0009885824158962244,100923
pos_patterns.pattern_12,4,29,80,95,+,13.653475615316685,5.334667917923156e-06,0.0001380055396158385,216770
pos_patterns.pattern_0,0,29,221,230,+,11.452235255153104,8.010864257812497e-05,0.0005122641442527239,216770
pos_patterns.pattern_1,1,30,6,16,+,11.302573570802352,9.155273437499988e-05,0.0004533365570599613,64837
pos_patterns.pattern_1,1,31,108,117,-,8.75901900178022,0.0005655288696289048,0.0007753547408136471,12503
pos_patterns.pattern_4,10,32,158,169,+,7.477852063498929,0.000832985622764681,0.0009885824158962244,235060
pos_patterns.pattern_0,0,33,218,227,-,11.706928355078606,5.3405761718750054e-05,0.0005122641442527239,42702
pos_patterns.pattern_2,8,33,60,71,+,9.56012624579336,0.0003072951931244457,0.0007046596669922635,42702
pos_patterns.pattern_1,1,34,6,25,-,8.649307372955784,0.0005769729614257796,0.0007753547408136471,353048
pos_patterns.pattern_3,9,35,104,116,+,13.307698269744945,1.2162018720118786e-05,6.38692516835686e-05,204863
pos_patterns.pattern_3,9,35,121,133,-,9.111493280192361,0.0002435041378703315,0.0004584447405066065,204863
pos_patterns.pattern_1,1,36,236,244,-,12.219437686464772,1.430511474609376e-05,0.0002929687500000002,302547
pos_patterns.pattern_14,6,36,15,40,-,11.428633099592385,6.196890353304949e-05,0.0004814259492658468,302547
pos_patterns.pattern_1,1,37,106,122,+,12.313274332643811,1.0490417480468743e-05,0.0002712673611111109,90561
pos_patterns.pattern_1,1,37,239,248,-,10.593791562433584,0.00023937225341796875,0.0006171127580563947,90561
pos_patterns.pattern_2,8,37,17,28,+,7.869570019462911,0.0007563511853732044,0.0009179334568592673,90561
pos_patterns.pattern_1,1,41,222,230,-,12.113167475292311,1.811981201171877e-05,0.0003385891879562048,213065
pos_patterns.pattern_0,0,41,50,58,+,11.572113179000532,6.484985351562499e-05,0.0005122641442527239,213065
pos_patterns.pattern_1,1,41,108,115,+,11.073315156868366,0.00013923645019531253,0.0005226470857771262,213065
neg_patterns.pattern_0,16,41,117,137,+,9.388215112201776,0.0001325607299804687,0.0009110088278006793,213065
pos_patterns.pattern_1,1,43,86,93,-,10.336624343256807,0.00028419494628906223,0.0006354052947598247,51815
pos_patterns.pattern_2,8,43,195,205,+,9.47169111330425,0.00032730436578276545,0.0007233970391347338,51815
pos_patterns.pattern_8,14,43,151,164,-,9.394721981497815,0.0002779690148599914,0.0009104187178621436,51815
pos_patterns.pattern_2,8,44,83,103,-,10.607772473401896,0.00013872799263481265,0.0005611162635908977,106576
pos_patterns.pattern_1,1,46,130,140,-,11.752016813207682,4.6730041503906284e-05,0.00036922501929012374,205260
pos_patterns.pattern_1,1,46,69,75,+,11.525601132064324,6.771087646484371e-05,0.0004012496383101855,205260
pos_patterns.pattern_4,10,46,210,221,-,8.983375979543261,0.00039147127790784003,0.00098662318380463,205260
pos_patterns.pattern_6,12,48,133,145,-,10.153399370203017,0.0001720200671115889,0.000728121373764171,176181
pos_patterns.pattern_2,8,48,160,171,+,8.770320932324479,0.0004901462807538332,0.0008118833265819903,176181
pos_patterns.pattern_0,0,49,113,121,-,9.198545870972545,0.00042724609375000043,0.0007310540368526659,278611
pos_patterns.pattern_6,12,49,126,138,-,8.245683567029147,0.0005107257138661218,0.000871019490193496,278611
pos_patterns.pattern_4,10,51,112,124,+,12.768793920892948,2.2852950678497964e-05,0.0005675841932150599,72613
pos_patterns.pattern_3,9,52,215,234,-,12.6905767369565,2.1909277165832393e-05,9.634079411277008e-05,330524
pos_patterns.pattern_3,9,52,107,127,-,10.768890937727123,8.891970810509488e-05,0.00024699384576948,330524
pos_patterns.pattern_9,15,53,100,120,+,18.44064636408466,1.5294335753424072e-07,1.997893414900989e-05,104028
pos_patterns.pattern_2,8,53,208,228,+,9.883042259997042,0.00025210059902747156,0.0006597215907420291,104028
pos_patterns.pattern_1,1,54,134,144,-,12.67442499472844,3.814697265625e-06,0.0002712673611111109,76384
pos_patterns.pattern_1,1,54,9,14,+,10.412472541903595,0.0002622604370117187,0.0006222305085727524,76384
pos_patterns.pattern_0,0,54,32,41,+,9.652800105641195,0.00032806396484375,0.0006672287261940927,76384
pos_patterns.pattern_10,2,54,21,29,+,5.901862455793342,0.0003734369947778754,0.000932771746296825,76384
pos_patterns.pattern_6,12,57,163,176,-,14.611775949721244,2.5438494049012636e-06,0.0002707677494981906,76489
pos_patterns.pattern_1,1,57,100,110,-,10.331160152026495,0.00028419494628906223,0.0006354052947598247,76489
pos_patterns.pattern_1,1,61,206,216,-,11.17413296689941,0.00012302398681640625,0.0005022988935406698,3632
pos_patterns.pattern_2,8,61,125,135,+,9.65186552813023,0.0002880951687984632,0.0006959221972791937,3632
pos_patterns.pattern_1,1,63,224,232,-,11.06297758158044,0.00013923645019531253,0.0005226470857771262,250349
pos_patterns.pattern_0,0,65,98,107,+,11.867126505516513,4.57763671875e-05,0.0005122641442527239,200055
pos_patterns.pattern_3,9,66,199,213,-,10.790207780332135,8.891970810509488e-05,0.00024699384576948,207153
pos_patterns.pattern_1,1,66,153,162,+,9.86934051713131,0.00039291381835937457,0.0006956150587828485,207153
pos_patterns.pattern_8,14,66,185,197,+,7.422795145265614,0.0008733003887755322,0.000963155275715873,207153
pos_patterns.pattern_12,4,71,80,96,+,12.312390805844927,1.388368892594112e-05,0.00019211150955662757,399869
pos_patterns.pattern_6,12,72,69,80,+,13.259333206151128,1.4816461771260905e-05,0.0004255443120402753,377606
pos_patterns.pattern_15,7,72,167,193,+,8.64952346786552,1.778802333952533e-05,7.627810438497548e-05,377606
pos_patterns.pattern_4,10,72,121,134,+,8.277213169165334,0.0005656912853737595,0.0009885824158962244,377606
pos_patterns.pattern_7,13,73,78,91,-,14.581812390453251,3.639139322331177e-06,0.0001582234487970077,39016
pos_patterns.pattern_1,1,73,18,28,-,11.457561200608293,7.915496826171879e-05,0.00042931508209745784,39016
pos_patterns.pattern_1,1,73,110,120,-,10.60202576310651,0.00021743774414062495,0.0005991825888051667,39016
pos_patterns.pattern_0,0,75,221,230,+,12.817731041433655,1.525878906250002e-05,0.0005122641442527239,67454
pos_patterns.pattern_6,12,76,86,101,+,12.805142922253156,2.161483826057517e-05,0.00044723643283278334,212800
pos_patterns.pattern_1,1,76,124,132,+,11.752016813207684,4.673004150390622e-05,0.00036922501929012374,212800
pos_patterns.pattern_1,1,76,47,55,+,11.727156285662613,4.673004150390622e-05,0.00036922501929012374,212800
pos_patterns.pattern_12,4,76,142,159,+,5.601403259610157,0.0005133057397392176,0.0007665537490189473,212800
pos_patterns.pattern_1,1,77,75,85,+,12.089678817358887,2.2888183593750027e-05,0.00036922501929012374,9217
pos_patterns.pattern_1,1,77,192,202,+,11.954943836417621,3.0517578125e-05,0.00036922501929012374,9217
pos_patterns.pattern_1,1,77,97,107,-,10.821117824683043,0.00017738342285156266,0.0005690495770676698,9217
pos_patterns.pattern_0,0,77,116,125,+,9.422874112589822,0.00035858154296875005,0.0006780407355332799,9217
pos_patterns.pattern_7,13,78,127,143,-,10.655000837193061,0.00011546889800229098,0.0005201301711814916,11952
pos_patterns.pattern_1,1,79,178,186,+,12.079909196093915,2.2888183593750027e-05,0.00036922501929012374,228196
pos_patterns.pattern_1,1,79,69,77,+,10.234406046238727,0.0003070831298828123,0.0006438434172809168,228196
pos_patterns.pattern_6,12,79,204,222,-,9.435952895884647,0.00026388999867776864,0.0007849751123459206,228196
pos_patterns.pattern_2,2,2,164,170,+,9.835820945105972,0.0002366220578551291,0.000981754623353481,348462
pos_patterns.pattern_4,4,2,132,147,+,7.350389868971023,0.0009443191811442364,0.000986068029152721,348462
pos_patterns.pattern_1,1,7,113,128,-,10.329618783707117,0.0001504775136709211,0.0008710976069172222,142980
pos_patterns.pattern_2,2,31,162,171,+,6.982613376628279,0.0009032683447003361,0.000981754623353481,156458
pos_patterns.pattern_2,2,31,66,77,-,6.794454746676396,0.000981754623353481,0.000981754623353481,156458
pos_patterns.pattern_3,3,32,31,58,+,10.295942972603296,9.562579831094885e-05,0.0005553736295496304,319235
neg_patterns.pattern_1,9,45,88,118,-,15.742280943859663,2.3358750365076794e-06,3.621917645343363e-05,378294
neg_patterns.pattern_0,8,45,195,206,+,8.590427905360013,0.0008291788399219512,0.0009514295663207005,378294
neg_patterns.pattern_0,8,45,158,165,-,8.58898118359033,0.0008291788399219512,0.0009514295663207005,378294
neg_patterns.pattern_0,8,54,38,47,-,9.918814839600396,0.00014370214194059367,0.0007237984508566266,343598
neg_patterns.pattern_0,8,54,93,104,+,8.781183707250555,0.0007034791633486747,0.0009259027223486233,343598
neg_patterns.pattern_1,9,57,146,179,-,11.832471197367271,2.5743255389620876e-05,0.00013342548504661735,244995
pos_patterns.pattern_6,6,57,48,63,+,5.891611628625078,0.0007147118449211111,0.0009393050591368598,244995
pos_patterns.pattern_1,1,80,80,89,-,9.852452361599966,0.0002133836969733236,0.0009145299877898989,144305
neg_patterns.pattern_0,8,80,123,132,-,9.563646854831184,0.0002826079726219176,0.0008199859754254393,144305
neg_patterns.pattern_0,8,81,143,152,+,10.18023723067218,9.467266499996184e-05,0.0006863030886445833,133733
neg_patterns.pattern_0,8,81,126,135,+,9.525529415088807,0.00028260797262191724,0.0008199859754254393,133733
pos_patterns.pattern_0,0,81,84,91,+,8.409775250177518,0.0006885994225740436,0.0009937761351466183,133733
neg_patterns.pattern_0,8,86,79,90,+,9.009789135858432,0.0005274312570691105,0.0008804394083212495,311011
pos_patterns.pattern_4,4,97,229,240,+,12.881932285987258,1.850351691246034e-05,0.0009433246321148354,121856
pos_patterns.pattern_0,0,97,197,208,+,8.406170502431001,0.0006885994225740436,0.0009937761351466183,121856
pos_patterns.pattern_5,5,97,162,167,-,7.749991701389048,0.000574056059122085,0.0009663431560665805,121856
neg_patterns.pattern_0,8,104,98,107,+,9.74024320634204,0.00020626094192266445,0.0008012841600234402,400745
neg_patterns.pattern_0,8,115,82,93,+,10.44637603616577,4.493165761232379e-05,0.0005974626700792998,398889
pos_patterns.pattern_1,1,115,228,237,+,9.287166128658603,0.00031681265681982046,0.0009145299877898989,398889
neg_patterns.pattern_0,8,115,74,79,+,8.991580249665983,0.0005842950195074076,0.0008950984268556545,398889
neg_patterns.pattern_0,8,115,45,50,+,8.652376772025141,0.0007654465734958653,0.0009355011431328145,398889
neg_patterns.pattern_0,8,120,32,40,-,10.458252561074586,4.493165761232373e-05,0.0005974626700792998,315612
pos_patterns.pattern_0,0,122,154,165,-,12.058020149271373,1.9262544810771942e-05,0.0009937761351466183,176131
pos_patterns.pattern_0,0,122,47,56,-,9.176693305433709,0.0004442483186721799,0.0009937761351466183,176131
neg_patterns.pattern_0,8,126,61,75,-,11.497414133157351,7.776543498039231e-07,0.00020106685244374766,279492
neg_patterns.pattern_0,8,128,125,137,-,9.232931649229782,0.0004212344065308571,0.0008501409054616691,58619
neg_patterns.pattern_0,8,131,143,155,-,9.358036961478785,0.0003721658140420912,0.0008351300378745865,187329
pos_patterns.pattern_6,6,132,217,232,+,8.831685014507315,0.00021464377641677908,0.0008366985612464992,79223
neg_patterns.pattern_0,8,132,96,111,-,8.537954787046047,0.0008291788399219512,0.0009514295663207005,79223
pos_patterns.pattern_0,0,137,116,127,-,11.369177570353576,5.448888987302778e-05,0.0009937761351466183,199068
neg_patterns.pattern_1,9,140,141,159,-,25.517613228531747,1.6829915239213805e-10,4.238267654741072e-07,117954
neg_patterns.pattern_0,8,141,162,171,-,9.303360389845016,0.0003721658140420912,0.0008351300378745865,107395
pos_patterns.pattern_6,6,141,67,77,+,5.202970341233265,0.0008732322603464127,0.0009756392612422462,107395
pos_patterns.pattern_5,5,142,28,40,+,8.807381377279533,0.0003270115703344346,0.0008939131770846862,395283
pos_patterns.pattern_5,5,142,167,182,-,8.426037358147264,0.0004039015620946879,0.0009249789619838797,395283
neg_patterns.pattern_0,8,145,55,71,-,9.012634786417147,0.0005274312570691112,0.0008804394083212495,335814
pos_patterns.pattern_0,0,146,180,191,-,10.646356039572265,0.0001229820773005485,0.0009937761351466183,379745
neg_patterns.pattern_0,8,146,114,123,+,9.188613606572076,0.00047300383448600715,0.0008680441031931703,379745
neg_patterns.pattern_0,8,146,79,88,-,8.301046054000693,0.000961301848292351,0.000961301848292351,379745
neg_patterns.pattern_1,9,165,123,148,+,21.802977113570826,1.5491720795068933e-08,3.1136904176417657e-06,56189
neg_patterns.pattern_1,9,181,113,128,+,13.361415882686597,1.0798676247425481e-05,8.167882134779722e-05,81735
neg_patterns.pattern_0,8,181,165,176,+,9.678871587399895,0.00024269614368677115,0.0008033484016488153,81735
pos_patterns.pattern_3,3,184,55,95,-,14.256952078947212,3.0580099365178097e-06,0.00016513253657196215,374401
pos_patterns.pattern_1,1,184,189,204,-,10.899850490080906,0.00010351743549108481,0.0008710976069172222,374401
neg_patterns.pattern_0,8,184,107,122,-,9.269870758599193,0.0004212344065308571,0.0008501409054616691,374401
neg_patterns.pattern_0,8,184,133,148,-,9.209699977758126,0.0004212344065308571,0.0008501409054616691,374401
pos_patterns.pattern_6,6,188,216,227,-,15.175101092889571,2.963468432426448e-06,0.0005422712896357869,338976
